name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
177,3,0.00007545904,0.0001246715,0.0003083978,0.000095144,0,0,m,[  0.00015311 |  0.00007765   0.00015311 |  0.00007765   0.00007765   0.00015311 ],[  0.00011483 | -0.00000984   0.00011483 | -0.00000984  -0.00000984   0.00011483 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
233,1,0.00009186317,0.0001302513,0.0001942275,0.00006036599,0,0,m,[  0.00012598 ],[  0.00010696 ],[  0.00000000 ],0.01805,0.155081,100,true
241,1,0.00009186317,0.0001302513,0.0001942275,0.00006036599,0,0,m,[  0.00012598 ],[  0.00010696 ],[  0.00000000 ],0.01805,0.155081,100,true
246,1,0.00009186317,0.0001302513,0.0001942275,0.00006036599,0,0,m,[  0.00012598 ],[  0.00010696 ],[  0.00000000 ],0.01805,0.155081,100,true
198,3,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 |  0.00015354   0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 |  0.00038003   0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
201,1,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 ],[  0.00027012 ],[  0.00000000 ],0.01805,0.155081,100,true
202,1,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 ],[  0.00088692 ],[  0.00000000 ],0.01805,0.155081,100,true
203,2,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 |  0.00027559   0.00097441 ],[  0.00027012 |  0.00008311   0.00027012 ],[  0.00000000 |  0.00000000   0.00000000 ],0.01805,0.155081,100,true
212,3,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 |  0.00015354   0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 |  0.00038003   0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
142,3,0.00005643272,0.0001240128,0.0007719762999999999,0.00005708516,0,0,m,[  0.00029495 |  0.00023851   0.00029495 |  0.00023851   0.00023851   0.00029495 ],[  0.00010170 | -0.00002231   0.00010170 | -0.00002231  -0.00002231   0.00010170 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
