transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
1001745_xfmr_abc,1,165457.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1001745_xfmr_abc,2,x_1001745.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1001329_xfmr_abc,1,165460.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1001329_xfmr_abc,2,x_1001329.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1001359_xfmr_abc,1,165462.1.2.3,delta,12.47,500.01,1,0.005500000000000001,-1,0,1.1,0.9,32
1001359_xfmr_abc,2,x_1001359.1.2.3,wye,0.208,500.01,1,0.005500000000000001,-1,0,1.1,0.9,32
1001330_xfmr_abc,1,165465.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1001330_xfmr_abc,2,x_1001330.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1002020_xfmr_abc,1,165466.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1002020_xfmr_abc,2,x_1002020.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000672_xfmr_a,1,165467.1,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000672_xfmr_a,2,x_1000672.1,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1001809_xfmr_b,1,165468.2,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001809_xfmr_b,2,x_1001809.2,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001708_xfmr_abc,1,165477.1.2.3,delta,12.47,750,1,0.005500000000000001,-1,0,1.1,0.9,32
1001708_xfmr_abc,2,x_1001708.1.2.3,wye,0.208,750,1,0.005500000000000001,-1,0,1.1,0.9,32
1001331_xfmr_b,1,165480.2,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1001331_xfmr_b,2,x_1001331.2,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1001345_xfmr_abc,1,165483.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1001345_xfmr_abc,2,x_1001345.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000933_xfmr_abc,1,165484.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1000933_xfmr_abc,2,x_1000933.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1001823_xfmr_a,1,165485.1,wye,7.19956121359083,37,1,0.005,-1,0,1.1,0.9,32
1001823_xfmr_a,2,x_1001823.1,wye,0.24,37,1,0.005,-1,0,1.1,0.9,32
1001822_xfmr_a,1,165486.1,wye,7.19956121359083,5,1,0.0105,-1,0,1.1,0.9,32
1001822_xfmr_a,2,x_1001822.1,wye,0.24,5,1,0.0105,-1,0,1.1,0.9,32
1001822_xfmr_b,1,165486.2,wye,7.19956121359083,5,1,0.0105,-1,0,1.1,0.9,32
1001822_xfmr_b,2,x_1001822.2,wye,0.24,5,1,0.0105,-1,0,1.1,0.9,32
1001822_xfmr_c,1,165486.3,wye,7.19956121359083,5,1,0.0105,-1,0,1.1,0.9,32
1001822_xfmr_c,2,x_1001822.3,wye,0.24,5,1,0.0105,-1,0,1.1,0.9,32
1000042_xfmr_a,1,165491.1,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000042_xfmr_a,2,x_1000042.1,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000077_xfmr_a,1,165492.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000077_xfmr_a,2,x_1000077.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000474_xfmr_a,1,165493.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000474_xfmr_a,2,x_1000474.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000043_xfmr_a,1,165494.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000043_xfmr_a,2,x_1000043.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1001567_xfmr_abc,1,165503.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1001567_xfmr_abc,2,x_1001567.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000232_xfmr_c,1,181884.3,wye,7.19956121359083,37,1,0.005,-1,0,1.1,0.9,32
1000232_xfmr_c,2,x_1000232.3,wye,0.24,37,1,0.005,-1,0,1.1,0.9,32
1000233_xfmr_b,1,181885.2,wye,7.19956121359083,37,1,0.005,-1,0,1.1,0.9,32
1000233_xfmr_b,2,x_1000233.2,wye,0.24,37,1,0.005,-1,0,1.1,0.9,32
1000569_xfmr_abc,1,181893.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1000569_xfmr_abc,2,x_1000569.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1000746_xfmr_abc,1,181894.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1000746_xfmr_abc,2,x_1000746.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1001016_xfmr_abc,1,181897.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1001016_xfmr_abc,2,x_1001016.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000608_xfmr_a,1,181898.1,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000608_xfmr_a,2,x_1000608.1,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000609_xfmr_a,1,181899.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000609_xfmr_a,2,x_1000609.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000610_xfmr_a,1,181900.1,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000610_xfmr_a,2,x_1000610.1,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000611_xfmr_a,1,181901.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000611_xfmr_a,2,x_1000611.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000612_xfmr_a,1,181902.1,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000612_xfmr_a,2,x_1000612.1,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000598_xfmr_c,1,181903.3,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000598_xfmr_c,2,x_1000598.3,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000599_xfmr_c,1,181904.3,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000599_xfmr_c,2,x_1000599.3,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000600_xfmr_c,1,181905.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000600_xfmr_c,2,x_1000600.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
